C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
WR,Chhattisgarh,3540,0,76.1,23.7,-0.1,349,0.00,01.01.22
,Gujarat,16595,219,346.5,184.6,4.6,893,1.95,01.01.22
,MP,14062,0,266.4,166.4,-1.0,561,0.00,01.01.22
,Maharashtra,22712,0,458.7,123.5,-3.5,617,0.00,01.01.22
,Goa,576,0,11.9,11.1,0.3,44,0.00,01.01.22
,DD,274,0,6.0,6.0,0.0,16,0.00,01.01.22
,DNH,766,0,17.6,17.5,0.1,44,0.00,01.01.22
,AMNSIL,15500,0,15.5,8.7,-8.7,376,0.00,01.01.22
SR,Andhra Pradesh,9242,0,170.7,67.4,-0.1,440,0.00,01.01.22
,Telangana,11050,0,197.8,87.9,-0.2,581,0.00,01.01.22
,Karnataka,11404,0,201.0,52.6,-0.9,576,0.00,01.01.22
,Kerala,3709,0,74.9,55.2,0.1,310,0.00,01.01.22
,Tamil Nadu,12620,0,253.9,137.5,-2.6,639,0.00,01.01.22
,Puducherry,318,0,6.5,7.1,-0.7,53,0.00,01.01.22
ER,Bihar,4487,0,82.8,74.9,-0.3,277,0.99,01.01.22
,DVC,3162,91,66.3,-38.2,-1.5,401,1.46,01.01.22
,Jharkhand,1429,228,27.4,22.4,-0.4,266,3.40,01.01.22
,Odisha,5391,0,99.7,63.8,0.8,390,0.00,01.01.22
,West Bengal,5679,0,108.1,-8.5,-0.6,260,0.00,01.01.22
,Sikkim,96,0,1.5,1.9,-0.3,22,0.00,01.01.22
NER,Arunachal Pradesh,133,0,2.4,2.7,-0.4,6,0.00,01.01.22
,Assam,1365,0,23.7,18.4,-0.9,72,0.00,01.01.22
,Manipur,222,0,3.3,3.4,-0.1,34,0.00,01.01.22
,Meghalaya,353,0,7.1,6.4,0.0,56,0.00,01.01.22
,Mizoram,112,0,1.9,1.4,-0.2,15,0.00,01.01.22
,Nagaland,130,0,2.3,2.1,0.1,17,0.00,01.01.22
,Tripura,211,0,3.4,3.8,-0.3,21,0.00,01.01.22
NR,Punjab,7484,0,140.0,30.5,-1.3,94,0.00,01.01.23
,Haryana,6479,0,125.2,60.4,-1.7,159,0.00,01.01.23
,Rajasthan,16280,0,304.9,114.6,-0.8,205,0.49,01.01.23
,Delhi,4588,0,73.7,63.2,0.2,294,0.00,01.01.23
,UP,17968,0,332.7,83.0,0.1,528,2.92,01.01.23
,Uttarakhand,2135,150,41.3,30.0,0.0,162,0.45,01.01.23
,HP,1901,0,34.0,27.1,-0.6,99,0.00,01.01.23
,J&K(UT) & Ladakh(UT),2833,0,63.0,60.0,-1.7,58,0.06,01.01.23
,Chandigarh,241,0,4.1,4.1,0.0,47,0.00,01.01.23
WR,Chhattisgarh,4631,0,99.8,46.8,-0.9,101,0.00,01.01.23
,Gujarat,18088,0,356.9,191.8,-3.3,856,0.00,01.01.23
,MP,16360,0,310.2,188.1,0.0,328,0.00,01.01.23
,Maharashtra,25161,0,506.8,180.6,-0.9,550,0.00,01.01.23
,Goa,591,0,12.1,11.6,-0.1,43,0.00,01.01.23
,DNHDDPDCL,1086,0,24.7,23.9,0.8,32,0.00,01.01.23
,AMNSIL,807,0,17.1,10.8,0.0,257,0.00,01.01.23
,BALCO,518,0,12.3,12.3,0.0,0,0.00,01.01.23
SR,Andhra Pradesh,10432,0,190.8,82.8,-1.5,510,0.00,01.01.23
,Telangana,13629,0,222.3,102.7,-1.5,578,0.00,01.01.23
,Karnataka,12522,0,214.6,91.7,-1.0,1011,0.00,01.01.23
,Kerala,3444,0,69.0,53.1,0.2,189,0.00,01.01.23
,Tamil Nadu,13131,0,269.0,137.5,-3.6,237,0.00,01.01.23
,Puducherry,337,0,7.8,7.3,-0.2,21,0.00,01.01.23
ER,Bihar,4980,0,91.3,81.9,-2.1,69,0.00,01.01.23
,DVC,3446,0,71.3,-41.8,0.5,264,0.00,01.01.23
,Jharkhand,1562,189,28.5,21.8,-1.7,132,1.36,01.01.23
,Odisha,4629,0,89.5,28.7,-4.3,274,0.00,01.01.23
,West Bengal,5797,0,111.9,-15.5,-2.2,382,0.00,01.01.23
,Sikkim,96,0,1.6,1.8,-0.2,18,0.00,01.01.23
NER,Arunachal Pradesh,146,0,2.6,2.5,-0.1,25,0.00,01.01.23
,Assam,1343,0,24.5,18.2,-0.2,76,0.00,01.01.23
,Manipur,215,0,3.4,3.6,-0.2,25,0.00,01.01.23
,Meghalaya,341,0,7.2,6.4,-0.2,21,0.00,01.01.23
,Mizoram,130,0,2.1,1.9,-0.1,7,0.00,01.01.23
,Nagaland,133,0,2.0,2.0,-0.1,24,0.00,01.01.23
,Tripura,213,0,3.7,1.6,0.0,22,0.00,01.01.23
NR,Punjab,7754,0,148.6,66.8,-0.8,295,0.00,01.01.24
,Haryana,7946,0,142.4,87.1,-0.9,243,0.00,01.01.24
,Rajasthan,16767,0,312.7,143.8,-2.7,467,2.03,01.01.24
,Delhi,5062,0,79.6,71.3,-1.3,211,0.00,01.01.24
,UP,19332,0,344.5,114.5,-2.5,700,0.00,01.01.24
,Uttarakhand,2281,0,41.9,29.9,-0.1,267,0.10,01.01.24
,HP,2022,0,35.8,30.4,-0.5,128,0.04,01.01.24
,J&K(UT) & Ladakh(UT),2968,0,64.4,60.0,-0.4,122,0.15,01.01.24
,Chandigarh,281,0,4.7,4.4,0.2,72,0.00,01.01.24
,Railways_NR ISTS,163,0,3.2,3.3,-0.1,26,0.00,01.01.24
WR,Chhattisgarh,4759,0,96.7,37.8,-1.5,197,0.00,01.01.24
,Gujarat,20388,0,380.2,148.2,-1.0,554,0.00,01.01.24
,MP,17320,0,320.4,200.4,-5.2,407,0.00,01.01.24
,Maharashtra,26125,0,527.0,183.0,-6.7,567,0.00,01.01.24
,Goa,635,0,12.8,12.5,-0.3,40,0.00,01.01.24
,DNHDDPDCL,1074,0,24.7,25.3,-0.6,23,0.00,01.01.24
,AMNSIL,845,0,17.3,8.5,-0.2,226,0.00,01.01.24
,BALCO,518,0,12.4,12.5,-0.1,7,0.00,01.01.24
SR,Andhra Pradesh,11139,0,196.8,67.4,-2.0,492,0.00,01.01.24
,Telangana,12660,0,223.1,96.4,-1.8,847,0.00,01.01.24
,Karnataka,14652,0,261.6,112.5,-1.5,678,0.00,01.01.24
,Kerala,4146,0,84.1,70.9,1.2,240,0.00,01.01.24
,Tamil Nadu,15217,0,303.6,176.0,1.1,564,0.00,01.01.24
,Puducherry,352,0,7.9,7.7,-0.5,31,0.00,01.01.24
ER,Bihar,5090,0,93.7,89.4,-1.7,348,0.16,01.01.24
,DVC,3300,0,70.6,-43.0,-0.3,250,0.00,01.01.24
,Jharkhand,1690,121,31.6,24.5,-2.0,230,1.14,01.01.24
,Odisha,4632,0,87.7,33.6,-2.5,275,0.00,01.01.24
,West Bengal,6096,0,125.3,14.3,-3.2,389,0.00,01.01.24
,Sikkim,90,0,1.5,1.8,-0.4,12,0.00,01.01.24
,Railways_ER ISTS,20,0,0.1,0.1,0.0,30,0.00,01.01.24
NER,Arunachal Pradesh,147,0,2.8,2.9,-0.1,24,0.00,01.01.24
,Assam,1378,0,24.8,19.7,-0.1,96,0.00,01.01.24
,Manipur,209,0,2.8,3.2,-0.4,27,0.17,01.01.24
,Meghalaya,295,12,6.0,5.2,-0.1,34,0.24,01.01.24
,Mizoram,114,0,1.8,1.7,-0.4,12,0.00,01.01.24
,Nagaland,130,0,2.3,2.3,-0.1,19,0.00,01.01.24
,Tripura,225,0,3.7,3.0,-0.4,20,0.00,01.01.24
NR,Punjab,8705,0,155.2,74.3,-0.7,347,0.00,01.01.25
,Haryana,7151,0,139.8,99.5,-2.5,203,0.00,01.01.25
,Rajasthan,16847,0,305.1,114.7,-2.4,430,0.00,01.01.25
,Delhi,5519,0,87.4,85.5,-0.4,404,0.00,01.01.25
,UP,20152,0,361.2,102.5,-1.3,658,0.00,01.01.25
,Uttarakhand,2451,0,44.6,37.0,-0.3,170,0.00,01.01.25
,HP,2094,0,37.5,31.4,-1.1,69,0.00,01.01.25
,J&K(UT) & Ladakh(UT),3182,0,68.4,66.1,-2.1,1038,0.10,01.01.25
,Chandigarh,312,0,5.2,5.2,0.0,108,0.00,01.01.25
,Railways_NR ISTS,214,0,4.1,3.8,0.3,46,0.00,01.01.25
WR,Chhattisgarh,5082,0,102.0,57.8,-1.3,176,0.00,01.01.25
,Gujarat,20607,0,389.6,175.7,-2.2,1134,0.00,01.01.25
,MP,14113,0,258.5,156.8,-2.6,469,0.00,01.01.25
,Maharashtra,26880,0,558.8,191.3,1.4,555,0.00,01.01.25
,Goa,684,0,14.0,13.7,-0.2,41,0.00,01.01.25
,DNHDDPDCL,1186,0,25.9,27.0,-1.1,19,0.00,01.01.25
,AMNSIL,740,0,16.9,7.4,0.4,271,0.00,01.01.25
,BALCO,528,0,12.6,12.7,-0.1,3,0.00,01.01.25
,RIL JAMNAGAR,0,0,0.0,0.0,0.0,0,0.00,01.01.25
SR,Andhra Pradesh,10786,0,196.4,54.3,-1.4,550,0.00,01.01.25
,Telangana,14334,0,263.8,170.2,-1.4,659,0.00,01.01.25
,Karnataka,15272,0,259.8,84.0,-0.9,648,0.00,01.01.25
,Kerala,4223,0,83.5,71.0,1.2,511,0.00,01.01.25
,Tamil Nadu,14019,0,294.7,154.2,-3.9,810,0.00,01.01.25
,Puducherry,364,0,8.3,8.2,-0.5,20,0.00,01.01.25
ER,Bihar,5620,101,102.6,92.4,-1.6,402,0.06,01.01.25
,DVC,3191,0,68.2,-38.1,0.4,370,0.00,01.01.25
,Jharkhand,2031,0,37.5,28.1,-0.3,260,0.00,01.01.25
,Odisha,4675,0,90.5,27.4,-3.5,356,0.00,01.01.25
,West Bengal,7006,0,137.7,6.0,-1.4,263,0.00,01.01.25
,Sikkim,97,0,1.4,1.8,-0.4,38,0.00,01.01.25
,Railways_ER ISTS,14,0,0.2,0.2,0.0,3,0.00,01.01.25
NER,Arunachal Pradesh,171,0,2.5,3.0,-0.7,41,0.00,01.01.25
,Assam,1391,0,25.6,19.5,-0.1,113,0.00,01.01.25
,Manipur,240,0,3.8,3.9,-0.1,25,0.00,01.01.25
,Meghalaya,321,0,6.2,5.6,-0.2,84,0.00,01.01.25
,Mizoram,125,0,1.9,1.7,-0.3,22,0.00,01.01.25
,Nagaland,145,0,2.5,2.5,0.0,17,0.00,01.01.25
,Tripura,246,0,4.1,3.4,-0.1,33,0.00,01.01.25
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.02.14
NR,Punjab,4514,0,86.2,30.5,1.1,192,01.02.14
,Haryana,5628,10,103.0,48.5,1.1,280,01.02.14
,Rajasthan,9093,0,186.4,68.8,0.4,243,01.02.14
,Delhi,3722,4,65.5,43.0,-1.6,244,01.02.14
,UP,10319,795,228.3,86.8,-4.0,366,01.02.14
,Uttarakhand,1711,80,33.7,23.7,2.7,312,01.02.14
,HP,1382,0,25.2,20.5,0.6,134,01.02.14
,J&K,1930,100,40.6,33.2,1.6,264,01.02.14
,Chandigarh,225,0,3.8,3.1,0.7,72,01.02.14
WR,Chhattisgarh,3006,32,66.2,14.8,-4.9,265,01.02.14
,Gujarat,11228,19,246.0,48.6,-3.0,506,01.02.14
,MP,7568,21,146.3,68.5,-2.7,316,01.02.14
,Maharashtra,18402,231,365.1,113.4,0.9,500,01.02.14
,Goa,399,1,7.9,7.6,-0.5,22,01.02.14
,DD,251,1,6.1,6.0,0.1,27,01.02.14
,DNH,623,2,14.5,14.2,0.3,49,01.02.14
,Essar steel,398,1,8.6,8.3,0.3,46,01.02.14
SR,Andhra Pradesh,11300,600,256.5,87.2,5.9,526,01.02.14
,Karnataka,8484,450,185.2,21.3,0.5,299,01.02.14
,Kerala,3281,150,61.2,28.5,2.4,215,01.02.14
,Tamil Nadu,11672,757,253.9,84.5,2.1,350,01.02.14
,Pondy,317,0,6.1,6.3,-0.1,26,01.02.14
ER,Bihar,1961,0,42.9,39.4,-0.2,185,01.02.14
,DVC,2582,0,57.7,-16.4,-1.3,305,01.02.14
,Jharkhand,918,43,20.2,12.3,0.9,105,01.02.14
,Odisha,3590,0,66.1,13.5,-0.6,325,01.02.14
,West Bengal,6462,25,108.7,26.1,3.4,485,01.02.14
,Sikkim,94,0,1.3,1.3,-0.1,32,01.02.14
NER,Arunachal Pradesh,110,10,1.6,1.4,0.2,34,01.02.14
,Assam,1010,161,18.1,12.5,1.2,109,01.02.14
,Manipur,117,8,1.5,1.6,-0.1,35,01.02.14
,Meghalaya,266,10,4.9,3.4,0.3,77,01.02.14
,Mizoram,72,4,1.1,1.0,-0.1,23,01.02.14
,Nagaland,95,2,1.5,1.4,-0.1,22,01.02.14
,Tripura,198,2,2.8,0.8,-0.3,20,01.02.14
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.02.15
NR,Punjab,5044,0,96.7,43.2,1.0,176,01.02.15
,Haryana,6221,0,121.8,49.1,0.3,276,01.02.15
,Rajasthan,10001,0,205.5,72.2,2.3,394,01.02.15
,Delhi,3760,0,64.3,43.6,-1.0,178,01.02.15
,UP,9965,2815,229.0,92.6,-1.8,259,01.02.15
,Uttarakhand,1811,80,35.4,27.8,0.8,142,01.02.15
,HP,1368,9,25.7,22.4,-0.1,55,01.02.15
,J&K,2212,390,46.7,38.0,4.5,456,01.02.15
,Chandigarh,218,0,3.8,3.7,0.3,17,01.02.15
WR,Chhattisgarh,3199,96,71.4,24.5,-0.1,222,01.02.15
,Gujarat,11909,0,252.4,49.2,2.1,499,01.02.15
,MP,7972,0,156.3,84.7,-1.5,198,01.02.15
,Maharashtra,18072,63,370.8,108.0,1.2,479,01.02.15
,Goa,384,0,7.7,7.2,0.0,97,01.02.15
,DD,266,0,6.0,6.1,-0.1,24,01.02.15
,DNH,644,0,15.2,15.3,-0.2,121,01.02.15
,Essar steel,331,0,6.2,7.1,-0.9,111,01.02.15
SR,Andhra Pradesh,6344,0,141.1,22.7,1.8,347,01.02.15
,Telangana,6307,300,131.0,77.3,3.4,321,01.02.15
,Karnataka,9175,400,187.5,33.1,3.8,424,01.02.15
,Kerala,3297,125,62.2,42.5,2.0,242,01.02.15
,Tamil Nadu,11991,837,259.7,106.3,0.8,372,01.02.15
,Pondy,297,0,5.9,6.0,-0.1,31,01.02.15
ER,Bihar,2673,100,54.5,55.0,-6.3,120,01.02.15
,DVC,2488,0,53.2,-13.4,-0.4,310,01.02.15
,Jharkhand,1045,0,21.9,11.9,-0.5,100,01.02.15
,Odisha,3336,0,66.2,17.7,3.2,300,01.02.15
,West Bengal,6001,27,106.2,17.3,3.4,260,01.02.15
,Sikkim,91,0,2.3,1.6,0.7,35,01.02.15
NER,Arunachal Pradesh,107,1,1.6,1.4,0.2,39,01.02.15
,Assam,1188,82,20.2,13.4,1.4,165,01.02.15
,Manipur,129,3,2.0,1.9,0.1,44,01.02.15
,Meghalaya,339,3,5.3,5.1,-0.8,28,01.02.15
,Mizoram,80,2,1.2,1.0,0.2,39,01.02.15
,Nagaland,115,4,2.0,1.5,0.3,32,01.02.15
,Tripura,195,5,3.0,0.5,0.4,47,01.02.15
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.02.15
NR,Punjab,5044,0,96.7,43.2,1.0,176,01.02.15
,Haryana,6221,0,121.8,49.1,0.3,276,01.02.15
,Rajasthan,10001,0,205.5,72.2,2.3,394,01.02.15
,Delhi,3760,0,64.3,43.6,-1.0,178,01.02.15
,UP,9965,2815,229.0,92.6,-1.8,259,01.02.15
,Uttarakhand,1811,80,35.4,27.8,0.8,142,01.02.15
,HP,1368,9,25.7,22.4,-0.1,55,01.02.15
,J&K,2212,390,46.7,38.0,4.5,456,01.02.15
,Chandigarh,218,0,3.8,3.7,0.3,17,01.02.15
WR,Chhattisgarh,3199,96,71.4,24.5,-0.1,222,01.02.15
,Gujarat,11909,0,252.4,49.2,2.1,499,01.02.15
,MP,7972,0,156.3,84.7,-1.5,198,01.02.15
,Maharashtra,18072,63,370.8,108.0,1.2,479,01.02.15
,Goa,384,0,7.7,7.2,0.0,97,01.02.15
,DD,266,0,6.0,6.1,-0.1,24,01.02.15
,DNH,644,0,15.2,15.3,-0.2,121,01.02.15
,Essar steel,331,0,6.2,7.1,-0.9,111,01.02.15
SR,Andhra Pradesh,6344,0,141.1,22.7,1.8,347,01.02.15
,Telangana,6307,300,131.0,77.3,3.4,321,01.02.15
,Karnataka,9175,400,187.5,33.1,3.8,424,01.02.15
,Kerala,3297,125,62.2,42.5,2.0,242,01.02.15
,Tamil Nadu,11991,837,259.7,106.3,0.8,372,01.02.15
,Pondy,297,0,5.9,6.0,-0.1,31,01.02.15
ER,Bihar,2673,100,54.5,55.0,-6.3,120,01.02.15
,DVC,2488,0,53.2,-13.4,-0.4,310,01.02.15
,Jharkhand,1045,0,21.9,11.9,-0.5,100,01.02.15
,Odisha,3336,0,66.2,17.7,3.2,300,01.02.15
,West Bengal,6001,27,106.2,17.3,3.4,260,01.02.15
,Sikkim,91,0,2.3,1.6,0.7,35,01.02.15
NER,Arunachal Pradesh,107,1,1.6,1.4,0.2,39,01.02.15
,Assam,1188,82,20.2,13.4,1.4,165,01.02.15
,Manipur,129,3,2.0,1.9,0.1,44,01.02.15
,Meghalaya,339,3,5.3,5.1,-0.8,28,01.02.15
,Mizoram,80,2,1.2,1.0,0.2,39,01.02.15
,Nagaland,115,4,2.0,1.5,0.3,32,01.02.15
,Tripura,195,5,3.0,0.5,0.4,47,01.02.15
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.02.16
NR,Punjab,5234,0,92.7,35.8,1.7,242,01.02.16
,Haryana,5862,0,111.7,62.7,-0.4,235,01.02.16
,Rajasthan,10232,0,218.4,69.4,2.1,359,01.02.16
,Delhi,3555,0,57.7,43.6,0.2,388,01.02.16
,UP,10330,2835,230.7,95.3,4.1,496,01.02.16
,Uttarakhand,1811,0,34.2,24.3,0.7,163,01.02.16
,HP,1351,0,24.4,20.8,0.3,117,01.02.16
,J&K,1985,496,43.2,39.1,-0.9,57,01.02.16
,Chandigarh,197,0,3.4,3.5,0.3,12,01.02.16
WR,Chhattisgarh,3253,96,75.7,25.5,0.8,231,01.02.16
,Gujarat,12406,0,272.6,53.5,2.6,373,01.02.16
,MP,9892,0,201.1,121.7,-1.1,433,01.02.16
,Maharashtra,18000,24,373.1,97.0,-1.9,618,01.02.16
,Goa,445,0,7.3,7.2,-0.3,56,01.02.16
,DD,278,0,6.3,6.2,0.1,21,01.02.16
,DNH,690,0,16.2,15.9,0.2,81,01.02.16
,Essar steel,384,0,7.6,7.1,0.4,212,01.02.16
SR,Andhra Pradesh,6559,0,133.9,20.6,-2.4,150,01.02.16
,Telangana,5770,0,129.1,76.9,1.6,295,01.02.16
,Karnataka,8649,500,184.2,41.3,1.4,312,01.02.16
,Kerala,3113,0,57.9,45.7,0.7,161,01.02.16
,Tamil Nadu,12339,0,263.4,130.6,6.3,415,01.02.16
,Pondy,272,0,5.7,5.9,-0.2,32,01.02.16
ER,Bihar,3305,0,65.7,64.0,-0.6,288,01.02.16
,DVC,3458,0,55.8,-12.1,4.0,272,01.02.16
,Jharkhand,966,0,21.6,11.7,-0.5,185,01.02.16
,Odisha,3723,0,69.3,20.5,0.8,301,01.02.16
,West Bengal,6106,0,112.9,25.8,1.1,276,01.02.16
,Sikkim,117,0,1.6,1.3,0.3,29,01.02.16
NER,Arunachal Pradesh,116,0,2.0,1.4,0.6,49,01.02.16
,Assam,1250,27,21.4,15.1,1.7,228,01.02.16
,Manipur,153,1,2.7,2.3,0.4,36,01.02.16
,Meghalaya,339,1,5.4,4.6,-0.5,38,01.02.16
,Mizoram,88,11,1.4,1.0,0.4,40,01.02.16
,Nagaland,102,9,2.1,1.5,0.6,37,01.02.16
,Tripura,210,0,3.1,-1.6,1.0,65,01.02.16
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.02.17
NR,Punjab,4976,0,92.2,32.6,0.7,197,01.02.17
,Haryana,6090,336,100.9,67.4,-0.4,240,01.02.17
,Rajasthan,9631,40,202.0,69.8,3.9,338,01.02.17
,Delhi,3712,0,63.6,52.4,-0.5,204,01.02.17
,UP,12017,240,261.3,93.8,0.1,450,01.02.17
,Uttarakhand,1960,0,35.1,20.9,0.0,83,01.02.17
,HP,1418,0,25.0,20.6,-0.5,153,01.02.17
,J&K,2053,513,44.0,38.8,0.9,182,01.02.17
,Chandigarh,218,0,3.6,3.6,0.0,36,01.02.17
WR,Chhattisgarh,3263,0,74.8,18.1,-1.3,168,01.02.17
,Gujarat,13127,0,285.7,80.1,-3.7,367,01.02.17
,MP,9696,0,201.6,123.8,-2.5,446,01.02.17
,Maharashtra,20954,0,434.0,153.4,5.5,450,01.02.17
,Goa,515,0,9.9,8.5,0.7,101,01.02.17
,DD,305,0,6.8,6.8,0.0,12,01.02.17
,DNH,707,0,16.5,16.6,-0.1,11,01.02.17
,Essar steel,483,0,10.2,9.9,0.3,159,01.02.17
SR,Andhra Pradesh,7307,0,152.5,26.8,-1.1,440,01.02.17
,Telangana,8123,0,164.8,77.2,2.2,260,01.02.17
,Karnataka,9392,0,208.3,77.6,4.5,355,01.02.17
,Kerala,3591,0,68.6,56.5,2.4,221,01.02.17
,Tamil Nadu,12444,0,264.0,142.3,0.0,475,01.02.17
,Pondy,304,0,6.0,6.2,-0.2,41,01.02.17
ER,Bihar,3502,100,61.8,60.4,-2.0,325,01.02.17
,DVC,3039,0,64.3,-31.9,-6.5,285,01.02.17
,Jharkhand,1104,0,23.3,16.0,1.0,125,01.02.17
,Odisha,3983,0,67.6,14.9,-1.5,365,01.02.17
,West Bengal,6959,0,110.8,20.4,-2.9,345,01.02.17
,Sikkim,82,0,1.1,1.8,-0.7,25,01.02.17
NER,Arunachal Pradesh,91,3,2.1,1.7,0.4,19,01.02.17
,Assam,1364,0,21.8,15.7,2.3,158,01.02.17
,Manipur,160,2,2.3,2.7,-0.4,4,01.02.17
,Meghalaya,285,0,5.8,4.3,-0.1,73,01.02.17
,Mizoram,85,1,1.5,1.0,0.4,23,01.02.17
,Nagaland,97,3,2.1,1.7,0.2,12,01.02.17
,Tripura,213,1,3.6,2.9,0.3,21,01.02.17
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.02.17
NR,Punjab,4976,0,92.2,32.6,0.7,197,01.02.17
,Haryana,6090,336,100.9,67.4,-0.4,240,01.02.17
,Rajasthan,9631,40,202.0,69.8,3.9,338,01.02.17
,Delhi,3712,0,63.6,52.4,-0.5,204,01.02.17
,UP,12017,240,261.3,93.8,0.1,450,01.02.17
,Uttarakhand,1960,0,35.1,20.9,0.0,83,01.02.17
,HP,1418,0,25.0,20.6,-0.5,153,01.02.17
,J&K,2053,513,44.0,38.8,0.9,182,01.02.17
,Chandigarh,218,0,3.6,3.6,0.0,36,01.02.17
WR,Chhattisgarh,3263,0,74.8,18.1,-1.3,168,01.02.17
,Gujarat,13127,0,285.7,80.1,-3.7,367,01.02.17
,MP,9696,0,201.6,123.8,-2.5,446,01.02.17
,Maharashtra,20954,0,434.0,153.4,5.5,450,01.02.17
,Goa,515,0,9.9,8.5,0.7,101,01.02.17
,DD,305,0,6.8,6.8,0.0,12,01.02.17
,DNH,707,0,16.5,16.6,-0.1,11,01.02.17
,Essar steel,483,0,10.2,9.9,0.3,159,01.02.17
SR,Andhra Pradesh,7307,0,152.5,26.8,-1.1,440,01.02.17
,Telangana,8123,0,164.8,77.2,2.2,260,01.02.17
,Karnataka,9392,0,208.3,77.6,4.5,355,01.02.17
,Kerala,3591,0,68.6,56.5,2.4,221,01.02.17
,Tamil Nadu,12444,0,264.0,142.3,0.0,475,01.02.17
,Pondy,304,0,6.0,6.2,-0.2,41,01.02.17
ER,Bihar,3502,100,61.8,60.4,-2.0,325,01.02.17
,DVC,3039,0,64.3,-31.9,-6.5,285,01.02.17
,Jharkhand,1104,0,23.3,16.0,1.0,125,01.02.17
,Odisha,3983,0,67.6,14.9,-1.5,365,01.02.17
,West Bengal,6959,0,110.8,20.4,-2.9,345,01.02.17
,Sikkim,82,0,1.1,1.8,-0.7,25,01.02.17
NER,Arunachal Pradesh,91,3,2.1,1.7,0.4,19,01.02.17
,Assam,1364,0,21.8,15.7,2.3,158,01.02.17
,Manipur,160,2,2.3,2.7,-0.4,4,01.02.17
,Meghalaya,285,0,5.8,4.3,-0.1,73,01.02.17
,Mizoram,85,1,1.5,1.0,0.4,23,01.02.17
,Nagaland,97,3,2.1,1.7,0.2,12,01.02.17
,Tripura,213,1,3.6,2.9,0.3,21,01.02.17
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",01.02.18
,Punjab,5242,0,106.1,20.5,0.4,141,0.0,01.02.18
,Haryana,6364,0,118.5,54.8,2.1,219,0.0,01.02.18
,Rajasthan,11114,0,214.1,75.1,2.0,322,1.3,01.02.18
,Delhi,3968,0,66.5,49.7,-1.3,238,0.0,01.02.18
NR,UP,14244,560,288.8,99.4,0.2,737,0.3,01.02.18
,Uttarakhand,2051,0,37.7,29.5,0.0,95,0.0,01.02.18
,HP,1544,0,27.5,22.5,1.0,133,0.0,01.02.18
,J&K,2148,537,46.5,42.7,0.0,61,11.0,01.02.18
,Chandigarh,221,0,3.5,3.2,0.3,50,0.0,01.02.18
WR,Chhattisgarh,3262,0,73.1,15.8,-0.2,240,0.2,01.02.18
,Gujarat,13802,0,297.9,121.8,1.3,278,0.0,01.02.18
,MP,9587,0,214.6,121.7,-2.2,537,0.0,01.02.18
,Maharashtra,20405,0,418.1,133.3,-0.9,304,0.0,01.02.18
,Goa,446,0,9.7,8.8,0.3,65,0.0,01.02.18
,DD,332,0,7.3,6.6,0.7,81,0.0,01.02.18
,DNH,745,0,17.4,16.4,1.0,85,0.0,01.02.18
,Essar steel,494,0,9.4,9.2,0.2,120,0.0,01.02.18
SR,Andhra Pradesh,8516,0,168.2,46.9,0.6,758,0.1,01.02.18
,Telangana,9050,0,181.8,74.1,-0.4,346,0.1,01.02.18
,Karnataka,9863,0,211.4,87.5,0.6,545,0.2,01.02.18
,Kerala,3383,0,67.9,52.8,1.2,203,0.1,01.02.18
,Tamil Nadu,13643,0,290.0,159.9,1.3,680,0.2,01.02.18
,Pondy,334,0,6.6,7.0,-0.4,23,0.0,01.02.18
,Bihar,3868,0,69.6,62.5,-1.2,0,0.0,01.02.18
,DVC,3054,0,67.2,-35.1,-1.7,50,0.0,01.02.18
ER,Jharkhand,1208,0,22.0,13.6,-1.8,100,0.0,01.02.18
,Odisha,4173,0,73.5,18.8,1.3,620,0.0,01.02.18
,West Bengal,6755,0,118.7,19.1,1.6,300,0.0,01.02.18
