C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
,Essar steel,318,0,5.1,5.6,-0.5,262,0.0,01.01.20
SR,Andhra Pradesh,8561,0,170.1,66.3,-0.5,367,0.0,01.01.20
,Telangana,10347,0,204.5,100.3,-0.6,399,0.0,01.01.20
,Karnataka,11660,0,212.2,59.4,0.6,819,0.0,01.01.20
,Kerala,3716,0,73.6,56.1,1.0,203,0.0,01.01.20
,Tamil Nadu,13703,0,285.2,165.9,1.6,530,0.0,01.01.20
,Pondy,349,0,6.5,7.1,-0.6,16,0.0,01.01.20
ER,Bihar,4656,0,82.0,81.2,-0.7,255,0.0,01.01.20
,DVC,3090,0,64.3,-31.5,-0.4,200,0.0,01.01.20
,Jharkhand,1391,0,25.6,17.0,-0.5,180,0.0,01.01.20
,Odisha,3697,0,67.9,5.3,0.1,230,0.0,01.01.20
,West Bengal,6255,0,110.2,28.2,-0.3,375,0.0,01.01.20
,Sikkim,129,0,1.9,1.7,0.2,40,0.0,01.01.20
,Arunachal Pradesh,109,1,2.2,1.9,0.2,34,0.0,01.01.20
,Assam,1358,28,23.4,17.3,1.3,90,0.2,01.01.20
NER,Manipur,211,2,2.4,3.1,-0.7,23,0.0,01.01.20
,Meghalaya,363,0,6.5,3.0,0.6,69,0.5,01.01.20
,Mizoram,102,0,1.8,1.4,0.3,14,0.0,01.01.20
,Nagaland,127,1,2.2,2.3,-0.2,16,0.0,01.01.20
,Tripura,231,0,3.6,1.6,-0.2,28,0.0,01.01.20
